prod_ai,brand,brand_options,n_pts,label_generic,label_effective_time
ACARBOSE,Acarbose,Acarbose (7),42,ACARBOSE,20260624
ALDESLEUKIN,GUNA-VIRUS,GUNA-VIRUS (2) | CITOMIX (1) | GUNA-DERMO (1) | GUNA-IL 2 (1) | GUNA-PROSTATE (1) | PROLEUKIN (1),43,ALDESLEUKIN - EVERLASTING EXTRACT - FOMITOPSIS PINICOLA FRUITING BODY - INTERFERON GAMMA-1B - MELATONIN - METENKEFALIN - REISHI - SEROTONIN - SOYBEAN - SUS SCROFA BLOOD - SUS SCROFA SMALL INTESTINE MUCOSA LYMPH FOLLICLE - SUS SCROFA SPLEEN -,20260701
ALGLUCOSIDASE ALFA,Lumizyme,Lumizyme (1),22,ALGLUCOSIDASE ALFA,20250110
ALISKIREN,ALISKIREN,ALISKIREN (1),21,ALISKIREN,20221230
AMIFAMPRIDINE PHOSPHATE,Firdapse,Firdapse (1),38,AMIFAMPRIDINE PHOSPHATE,20260416
ANDEXANET ALFA,ANDEXXA,ANDEXXA (1),39,ANDEXANET ALFA,20250523
ATOVAQUONE,Atovaquone,Atovaquone (14) | ATOVAQUONE (5) | Atovaquone and Proguanil Hydrochloride (5) | Atovaquone Oral Suspension (2) | Atovaquone and Proguanil HCl (2) | Atovaquone and Proguanil Hydrochloride Pediatric (1) | MALARONE (1) | MEPRON (1) | atovaquone (1),31,ATOVAQUONE,20260616
ATROPINE,Rage,Rage (2) | ATROPEN Auto-Injector (1) | Low Back Pain Drops 2041 (1) | MDFARMA COLD and FLU RELIEF (1) | N/A (1) | NRV-Systemic (1),35,"ATROPINE SULFATE INJECTION USP, 0.5 MG/0.7 ML",20260218
AZATHIOPRINE SODIUM,Azathioprine Sodium,Azathioprine Sodium (1),28,AZATHIOPRINE SODIUM,20250123
AZTREONAM,Aztreonam,Aztreonam (4) | AZACTAM (2) | EMBLAVEO (1),29,AZTREONAM AND AVIBACTAM,20260604
BELINOSTAT,Beleodaq,Beleodaq (1),35,BELINOSTAT,20250407
BEMPEDOIC ACID,Nexletol,Nexletol (1) | Nexlizet (1),35,BEMPEDOIC ACID AND EZETIMIBE,20260115
BENZTROPINE,Benztropine Mesylate,Benztropine Mesylate (1),41,BENZTROPINE,20200501
BETAMETHASONE DIPROPIONATE,Betamethasone Dipropionate,"Betamethasone Dipropionate (34) | Clotrimazole and Betamethasone Dipropionate (18) | BETAMETHASONE DIPROPIONATE (8) | Betamethasone dipropionate (8) | Calcipotriene and Betamethasone Dipropionate (6) | betamethasone dipropionate (2) | Attero (1) | Betamethasone Dipropionate USP, 0.05% (1) | CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE (1) | Clotrimazole/Betameth (1)",47,CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE,20260518
